,adj_eig_ratio_1_2,algebraic_connectivity,assortativity,avg_edge_ixp_cosine_dist,avg_path_length,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,clustering_avg_local,clustering_global,core_mean,core_std,density,ego_avg_violation_depth,ego_edges,ego_nodes,ego_transit_vf_rate,ego_transit_violations,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,kirchhoff_index,lcc_fraction,log_spanning_trees,median_edge_ixp_cosine_dist,n_edges,n_edges_full,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_nodes,n_nodes_full,natural_connectivity,percolation_limit,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,vf_rate_delta
clustering_global,0.8838591896613417,0.8290473054491707,0.938459022409624,0.9891890616218186,0.5941749710825965,0.6301532577793834,0.608780862411461,0.7746020251387241,0.7968684757472482,0.5737614221010207,1.0,0.836620091358564,0.563784839857148,0.9253705911957684,0.7149631359027535,0.8175099063743844,0.5523040086892351,0.6771786022751899,0.6750621446861051,0.7409539766862779,0.7411176775948308,0.5927166066660532,0.6238381061754649,0.6970114074278098,0.8843230208732984,0.5577922983491926,0.8241086949773936,0.8258871262672643,0.8175099063743844,0.9353791428329251,0.8149312907028057,0.8258871262672469,0.5523040086892351,0.7288931218840058,0.5629289628489342,0.5074657247130178,0.8159484083608249,0.8258871262670899,0.8258871262670899,0.8258871262675145,0.8258871262675082,0.8546004801967426,0.5076981113397396,0.6535852259219029,0.8258871262672195,0.7193357386063672
core_mean,0.6641225078305611,0.9984594492109438,0.9754277751415429,0.8344796693144273,0.7055076022248717,0.763612422227265,0.7397817965036889,0.9203172601914915,0.9637429780157755,0.6102122068738296,0.836620091358564,1.0,0.6856689838436972,0.9573357536591409,0.6773401653457051,0.9878822394688367,0.6709438011897111,0.6888029122188785,0.6973400155482635,0.8966097567750956,0.8968104657213157,0.31549809124855754,0.28486639143001274,0.8419830948658883,0.6997898524993396,0.6667394171119008,0.9954719645234538,0.9972192613698954,0.9878822394688367,0.5744893761559617,0.9848810842254173,0.9972192613679832,0.6709438011897111,0.4217714510352767,0.6852824775129585,0.6191915363164541,0.9861666397860359,0.9972192613689632,0.9972192613689632,0.9972192613687952,0.9972192613693259,0.6645695008433701,0.6194680746015517,0.6324981640297729,0.997219261369624,0.3889388401302756
core_std,0.816324537659581,0.692262741250081,0.6595895963323207,0.5712389326316475,0.9506235792111856,0.9589969330919452,0.9898702046656004,0.8967642940421663,0.8664133645863479,0.9455262129186863,0.563784839857148,0.6856689838436972,1.0,0.6397908337611379,0.4116823505527442,0.7958802776270849,0.981900616890838,0.5977292861106284,0.608565420564448,0.9331929657339694,0.9332904312164622,0.7363646767624745,0.664292709834245,0.822747322852795,0.49347087756025804,0.9826326798353219,0.7325006416105537,0.6826415159437418,0.7958802776270849,0.5599610663755495,0.8096098095946226,0.6826415159557581,0.981900616890838,0.7336139594912148,0.9600122404862153,0.9594158244258655,0.7906457940404811,0.6826415159422516,0.6826415159422516,0.6826415159410877,0.6826415159365823,0.8523221136535126,0.9595221833542661,0.9388795796888565,0.6826415159386648,0.6992571365162138
density,0.7473514080479651,0.9428845658429686,0.9898177925158868,0.8892706989028099,0.6874891136302752,0.7151066323514647,0.6908529424922525,0.892481990634904,0.9042973674846627,0.5913511081418086,0.9253705911957684,0.9573357536591409,0.6397908337611379,1.0,0.8509307043543364,0.9277215484449558,0.6267622277600116,0.8406638193312381,0.8431730096191014,0.8408448206677653,0.841030590760464,0.5224311632762877,0.527023083017304,0.7909781853296584,0.8911325704870507,0.628122459412242,0.9352099450187397,0.9372281334446912,0.9277215484449558,0.735161226424625,0.924795299715682,0.9372281334394001,0.6267622277600116,0.6128492163143832,0.6388195727066805,0.5758791229854228,0.9259495389048163,0.9372281334437359,0.9372281334437359,0.9372281334433135,0.9372281334445617,0.7356382593181168,0.5761428385544923,0.6340693874580827,0.9372281334437811,0.5980818398064884
ego_avg_violation_depth,0.49374595528555637,0.6233480730082801,0.7563313070216875,0.5728133205386216,0.5386077573365675,0.46014535297250636,0.444538977462268,0.67442799321465,0.5818827746076696,0.3806614559154237,0.7149631359027535,0.6773401653457051,0.4116823505527442,0.8509307043543364,1.0,0.5969553911113288,0.4032989116715654,0.9853778730960104,0.9830074059580338,0.5410533466245094,0.5411728834482744,0.6007999643395578,0.6084012637042486,0.5089659635287328,0.9509892604767102,0.4152261491324516,0.6017739045116876,0.6030725360406691,0.5969553911113288,0.5359173369168614,0.5950724554813233,0.6030725360552699,0.4032989116715654,0.6105357058782692,0.4110573787349437,0.37055746702237,0.5958151668069012,0.6030725360348695,0.6030725360348695,0.603072536041999,0.6030725360436281,0.4878054840759375,0.3707271584498914,0.4082662095291392,0.6030725360454935,0.6131493987116124
ego_edges,0.7304858329360554,0.9911545846226969,0.9564305227336878,0.8283186303115616,0.7908432186317015,0.8458367571988014,0.8350044338424588,0.9530225542041068,0.9919842508459723,0.7240081912059396,0.8175099063743844,0.9878822394688367,0.7958802776270849,0.9277215484449558,0.5969553911113288,1.0,0.7796204228703791,0.6433430372121507,0.654207928109338,0.9485984726673786,0.9487873641479785,0.4193947110572133,0.36970116704923583,0.8794468240565004,0.6442934722003261,0.7759201254007482,0.9960763369077614,0.9898567012064644,1.0,0.593472146095557,0.9997920805991106,0.9898567012065795,0.7796204228703791,0.49798471763243063,0.7848973182738352,0.7346342984559684,0.9976226105497967,0.9898567012070458,0.9898567012070458,0.9898567012065415,0.989856701207092,0.7396550520503195,0.7348702717162767,0.7388507123699011,0.9898567012068977,0.46089049831979007
ego_nodes,0.7575261388945829,0.6766539015798486,0.646157811207587,0.5596063074073289,0.8739761083701747,0.9898317628322858,0.947769310014634,0.8415861047562722,0.8386328102066517,0.8648667578500926,0.5523040086892351,0.6709438011897111,0.981900616890838,0.6267622277600116,0.4032989116715654,0.7796204228703791,1.0,0.5670036496878408,0.5733944145531266,0.9436181006071457,0.9434963142322071,0.735162780737906,0.6885028648204681,0.8980514946137016,0.4886707257569422,0.9997533358690865,0.7098536591937055,0.668740304981011,0.7796204228703791,0.5484888319707522,0.7930639659019586,0.668740304976422,1.0,0.7286002507308468,0.8865684006124608,0.8860148234456398,0.7576457140805217,0.6687403049736312,0.6687403049736312,0.668740304977014,0.6687403049807387,0.789244181861414,0.8861919731823458,0.8601576295778497,0.6687403049782448,0.7023781336634114
ego_transit_vf_rate,0.5664039027874909,0.6390883053763476,0.746997432836147,0.5298425986028197,0.6964448232973062,0.5838300177750958,0.6232928358391087,0.762250567870049,0.6581367539647557,0.5867189447719735,0.6771786022751899,0.6888029122188785,0.5977292861106284,0.8406638193312381,0.9853778730960104,0.6433430372121507,0.5670036496878408,1.0,0.9995848097747572,0.6354410266422971,0.6356516555940893,0.6802044649243943,0.6597168715799206,0.5487279373437294,0.9250083563203485,0.5749184222315127,0.6318737971674082,0.6169147435153972,0.6433430372113818,0.5092311505548862,0.6460011052134783,0.6169147435160361,0.5670036496912351,0.63594562473679,0.6094809491976375,0.5894359368962766,0.6474223120892474,0.616914743515491,0.616914743515491,0.6169147435153425,0.6169147435152479,0.5809330674106714,0.5895241685404998,0.5916094009222931,0.6169147435152919,0.6646947668191399
ego_transit_violations,0.5717990497251516,0.6489467486198909,0.7510153730089705,0.528843808978799,0.7101758536037849,0.5891828919822709,0.6367908977782879,0.7738876917470833,0.670258890341179,0.6020917762718796,0.6750621446861051,0.6973400155482635,0.608565420564448,0.8431730096191014,0.9830074059580338,0.654207928109338,0.5733944145531266,0.9995848097747572,1.0,0.6439044462292586,0.644139525286869,0.6641662805940538,0.6392942949978215,0.5492058199452852,0.9220120872254521,0.5816475306425831,0.6429512956196993,0.6270838982562996,0.654207928109338,0.49701738281290353,0.6569452343674395,0.6270838982561786,0.5733944145531266,0.6448241043251316,0.6257100286435792,0.6055980398776604,0.6596089300303434,0.627083898256207,0.627083898256207,0.6270838982561584,0.6270838982561813,0.5881701129151902,0.6056805396289585,0.6054210832360493,0.6270838982562489,0.647279999865983
ego_valley_free_paths_checked,0.7709905287965593,0.9008050512042808,0.8668653355245106,0.7507505148904536,0.8590361432785195,0.9736637827136181,0.9292518132882251,0.9400771418193717,0.9675065854336199,0.8179270585971967,0.7409539766862779,0.8966097567750956,0.9331929657339694,0.8408448206677653,0.5410533466245094,0.9485984726673786,0.9436181006071457,0.6354410266422971,0.6439044462292586,1.0,0.9999993876615285,0.6223516433204777,0.5804359678633956,0.9517441271243753,0.606389811138667,0.9414699009958826,0.9159491231423508,0.8971613106916472,0.9485984726673786,0.6015343826479985,0.9542220575036492,0.8971613106983376,0.9436181006071457,0.6505647589953124,0.8631716645553821,0.8365951683586296,0.9347196847786569,0.8971613106992736,0.8971613106992736,0.8971613106961001,0.8971613107036692,0.7910522432315052,0.8368296027624048,0.8236444134635297,0.8971613106983362,0.6206476636797562
ego_valley_free_paths_total,0.7713517329191872,0.9010092838479897,0.8670568543302524,0.7509163801823444,0.8595020521144944,0.9735013356480553,0.9295065686003189,0.940439768908788,0.9677371588514212,0.8184161586717115,0.7411176775948308,0.8968104657213157,0.9332904312164622,0.841030590760464,0.5411728834482744,0.9487873641479785,0.9434963142322071,0.6356516555940893,0.644139525286869,0.9999993876615285,1.0,0.6222984687597609,0.5802184861020254,0.9514136277456935,0.6064887019001804,0.9413523628165019,0.9161791209250353,0.8973595229153084,0.9487873641479785,0.6016370962438004,0.9544094156257843,0.8973595229102501,0.9434963142322071,0.6505601989775106,0.8636165033183397,0.8370364883941002,0.9349897369713089,0.8973595229125712,0.8973595229125712,0.8973595229099818,0.8973595229136792,0.7914373992261801,0.8372704692025263,0.8241217899397083,0.8973595229144771,0.6205883996138912
ego_valley_free_violation_rate,0.7309726092382631,0.28021849645089797,0.4762778411123901,0.5377206061373473,0.7002717733964027,0.6956539276275534,0.7062871658828435,0.6024804018783945,0.5103071682941263,0.7128572923548555,0.5927166066660532,0.31549809124855754,0.7363646767624745,0.5224311632762877,0.6007999643395578,0.4193947110572133,0.735162780737906,0.6802044649243943,0.6641662805940538,0.6223516433204777,0.6222984687597609,1.0,0.9924557468998723,0.5548348785712812,0.6496079434338732,0.7314549931463884,0.3254666751586419,0.2477382864506371,0.4193947110703594,0.7590018143430831,0.4379784836012588,0.2477382864515336,0.7351627807487585,0.4717693970472013,0.6827684287753867,0.6976140696200562,0.4062919913431056,0.24773828644674364,0.24773828644674364,0.247738286443492,0.24773828643968746,0.738006980749027,0.697670056985149,0.7299107299036043,0.2477382864510265,0.9870873284063654
ego_valley_free_violations,0.6988347075686779,0.24092227980964928,0.48104931660076533,0.5705942485383969,0.5960928650236853,0.6617057363205147,0.6187160930448551,0.5207197205214948,0.4446574934883522,0.6113024964377924,0.6238381061754649,0.28486639143001274,0.664292709834245,0.527023083017304,0.6084012637042486,0.36970116704923583,0.6885028648204681,0.6597168715799206,0.6392942949978215,0.5804359678633956,0.5802184861020254,0.9924557468998723,1.0,0.567653605419123,0.6707182212269606,0.6839748629373267,0.2723702176218415,0.20773925654096478,0.36970116704923583,0.7855299601369048,0.3869293897410011,0.20773925654035216,0.6885028648204681,0.4450217964752515,0.5739137370114155,0.588857813935174,0.3396634345060881,0.2077392565412355,0.2077392565412355,0.20773925654026462,0.20773925653516753,0.6946973679624275,0.5889584714653129,0.64056580121455,0.2077392565359117,0.9906931883095272
ego_vf_paths_frac,0.604080027762173,0.8444863479093432,0.8154555433091758,0.7062269580769773,0.6368575900268236,0.9518260608777165,0.7782360739889932,0.7937978019848911,0.8724414550656808,0.573479246316541,0.6970114074278098,0.8419830948658883,0.822747322852795,0.7909781853296584,0.5089659635287328,0.8794468240565004,0.8980514946137016,0.5487279373437294,0.5492058199452852,0.9517441271243753,0.9514136277456935,0.5548348785712812,0.567653605419123,1.0,0.5715373360959904,0.8940977189142286,0.8461702392701,0.8439548035966925,0.8794468240565004,0.5468605391771658,0.8829928368570944,0.843954803660557,0.8980514948358506,0.5798904912795948,0.6452427891928837,0.6094925876183888,0.8433247547315084,0.8439548035984875,0.8439548035984875,0.8439548035976071,0.8439548035950297,0.6096100709157152,0.6099226043831469,0.58864887043817,0.8439548036192606,0.5677361897933247
kirchhoff_index,0.745736162780812,0.6579954825372786,0.830945001500858,0.799191402431925,0.574512643621995,0.5374749857277462,0.5181819653471784,0.7003495408074658,0.6348264808148795,0.4962150228501858,0.8843230208732984,0.6997898524993396,0.49347087756025804,0.8911325704870507,0.9509892604767102,0.6442934722003261,0.4886707257569422,0.9250083563203485,0.9220120872254521,0.606389811138667,0.6064887019001804,0.6496079434338732,0.6707182212269606,0.5715373360959904,1.0,0.5031227653062412,0.64348714996814,0.6417528656858835,0.6442934722003261,0.7989819738345396,0.6435869923170504,0.6417528656908412,0.4886707257518123,0.7874691069729103,0.48043093144544563,0.4444749953952073,0.6413906416223238,0.641752865687585,0.641752865687585,0.6417528656859336,0.6417528656855669,0.7248544887513829,0.4446474311192302,0.5581231078588444,0.6417528656862892,0.7195426837575926
lcc_fraction,0.764547533074633,0.6718178968942486,0.6457633996715592,0.5628548886865872,0.8768956725363464,0.9884663870556647,0.9487219998776542,0.8418603943890802,0.8361880218300156,0.8684460926401755,0.5577922983491926,0.6667394171119008,0.9826326798353219,0.628122459412242,0.4152261491324516,0.7759201254007482,0.9997533358690865,0.5749184222315127,0.5816475306425831,0.9414699009958826,0.9413523628165019,0.7314549931463884,0.6839748629373267,0.8940977189142286,0.5031227653062412,1.0,0.7054640674922207,0.6634960997884478,0.7759201254007482,0.5545412550122648,0.7895512286024059,0.663496099797756,0.999753335874656,0.7455605547244897,0.8886783396289899,0.8886029570059194,0.7542897213050612,0.6634960997866772,0.6634960997866772,0.6634960997889462,0.663496099790204,0.7958889993378705,0.888776588398195,0.8642680535658548,0.663496099792476,0.7001118819606142
log_spanning_trees,0.699247862747068,0.9983884534730082,0.9641506528302412,0.8350046649330114,0.7471613063483935,0.7903016540419239,0.784775664001799,0.9356811413903783,0.9794879644481027,0.6711593407879343,0.8241086949773936,0.9954719645234538,0.7325006416105537,0.9352099450187397,0.6017739045116876,0.9960763369077614,0.7098536591937055,0.6318737971674082,0.6429512956196993,0.9159491231423508,0.9161791209250353,0.3254666751586419,0.2723702176218415,0.8461702392701,0.64348714996814,0.7054640674922207,1.0,0.9978466412261968,0.9960763369077614,0.5793719038168654,0.9941618580144649,0.997846641225655,0.7098536591937055,0.43112655436229474,0.7379662976408748,0.6794126740575085,0.9960040638474937,0.997846641226141,0.997846641226141,0.9978466412262882,0.9978466412259771,0.7040737406238395,0.6796549062515562,0.6895172910034135,0.9978466412263907,0.39144970941415586
median_edge_ixp_cosine_dist,0.6609311301336214,0.9997428895075939,0.9662312954668728,0.8368066097807154,0.6927100109572153,0.7630016714723578,0.7371235645293477,0.9108578111612997,0.9648636604272629,0.6053560740729856,0.8258871262672643,0.9972192613698954,0.6826415159437418,0.9372281334446912,0.6030725360406691,0.9898567012064644,0.668740304981011,0.6169147435153972,0.6270838982562996,0.8971613106916472,0.8973595229153084,0.2477382864506371,0.20773925654096478,0.8439548035966925,0.6417528656858835,0.6634960997884478,0.9978466412261968,1.0,0.9898567012058788,0.567208479594821,0.9867344638074173,0.9999999999995656,0.6687403049746867,0.3804739185947382,0.6816052035992539,0.6144492492729082,0.9879660094094503,1.000000000000069,1.000000000000069,0.9999999999999439,0.9999999999999863,0.6607358789131524,0.6147306274593268,0.6281632889008307,0.9999999999998691,0.34202288138110293
n_edges,0.7304858329360554,0.9911545846226969,0.9564305227336878,0.8283186303115616,0.7908432186317015,0.8458367571988014,0.8350044338424588,0.9530225542041068,0.9919842508459723,0.7240081912059396,0.8175099063743844,0.9878822394688367,0.7958802776270849,0.9277215484449558,0.5969553911113288,1.0,0.7796204228703791,0.6433430372113818,0.654207928109338,0.9485984726673786,0.9487873641479785,0.4193947110703594,0.36970116704923583,0.8794468240565004,0.6442934722003261,0.7759201254007482,0.9960763369077614,0.9898567012058788,1.0,0.593472146095557,0.9997920805991106,0.9898567012065795,0.7796204228703791,0.49798471763243063,0.7848973182738352,0.7346342984559684,0.9976226105497967,0.9898567012070458,0.9898567012070458,0.9898567012065415,0.989856701207092,0.7396550520503195,0.7348702717162767,0.7388507123699011,0.9898567012068977,0.46089049831979007
